,,feature,cleared,categ,value to impute,,note,,,,,,,,,,,,
NACCID,0,NACCID,y,n,,0,,,,,,,,,,,,,
SEX,0,SEX,y,y,,0,,,,,,,,,,,,,
HISPANIC,0,HISPANIC,i,y,9,0,value 9 (n=66) must be imputed,,,,,,,,,,,,
HISPOR,0,HISPOR,i,y,99,0,value 99 (n=23) to be imputed,,,,,,,,,,,,
RACE,0,RACE,i,y,99,0,value 99 (n=60) to be imputed,,,,,,,,,,,,
RACESEC,0,RACESEC,i,y,99,0,value 99 (n=162) to be imputed,,,,,,,,,,,,
RACETER,0,RACETER,i,y,99,0,value 99 (n=97) to be imputed,,,,,,,,,,,,
PRIMLANG,0,PRIMLANG,c,y,,0,"value 4, 6, 3, 9 change to 8",,,,,,,,,,,,
EDUC,0,EDUC,y,n,,0,,,,,,,,,,,,,
MARISTAT,0,MARISTAT,i,y,9,0,value 9 (n=94) must be imputed,,,,,,,,,,,,
NACCLIVS,0,NACCLIVS,i,y,9,0,value 9 (n=25) must be imputed,,,,,,,,,,,,
INDEPEND,0,INDEPEND,i,y,9,0,value 9 (n=74) must be imputed,,,,,,,,,,,,
RESIDENC,0,RESIDENC,y,y,,0,,,,,,,,,,,,,
HANDED,0,HANDED,i,y,9,0,value 9 (n=124) must be imputed,,,,,,,,,,,,
NACCFAM,0,NACCFAM,c,y,,0.5,value 9 (n=86) and -4 to be combined treated as its own category,,,,,,,,,,,,
NACCMOM,0,NACCMOM,c,y,,0.5,value 9 (n=86) and -4 to be combined treated as its own category,,,,,,,,,,,,
NACCDAD,0,NACCDAD,c,y,,0.5,value 9 (n=86) and -4 to be combined treated as its own category,,,,,,,,,,,,
NACCFADM,0,NACCFADM,y,y,,0.5,,,,,,,,,,,,,
NACCFFTD,0,NACCFFTD,y,y,,0.5,,,,,,,,,,,,,
ANYMEDS,0,ANYMEDS,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
TOBAC30,0,TOBAC30,id,y,9,0,"value 9 (n=96) must be imputed, value -4 copy from 1st visit",,,,,,,,,,,,
TOBAC100,0,TOBAC100,id,y,9,0,"value 9 (n=224) must be imputed, value -4 copy from 1st visit",,,,,,,,,,,,
SMOKYRS,0,SMOKYRS,icd,n,"99, 88",0,"value -4 copy (and + years) from 1st visit, value 99 and 88 of the first visit must be imputed",,,,,,,,,,,,Make sure in the new data it's still 88 and 99
PACKSPER,0,PACKSPER,D,n,9,0,"value 9 (n=688) must be imputed, value -4 copy from 1st visit",,,,,,,,,,,,
QUITSMOK,0,QUITSMOK,icd,n,999,0,"value 999 (n=739) to be imputed, change 888 to 0, -4 copy from first visit",,,,,,,,,,,,
CVHATT,0,CVHATT,ir,y,9,1,"value 9 to be imputed and -4 will be replaced by MYOINF (0=0, and 1=1)",,,,,,,,,,,,
CVAFIB,0,CVAFIB,ir,y,9,1,"value 9 (n=77) to be imputed and -4 will be replaced by AFIBRILL (0=0, 1=1, and 8 imputed)",,,,,,,,,,,,
CVANGIO,0,CVANGIO,ir,y,9,1,"value 9 (n=13) to be imputed and -4 will be replaced by ANGIOCP and ANGIOPCI (0=0, 1 in any = 1, 8 imputed)",,,,,,,,,,,,
CVBYPASS,0,CVBYPASS,id,y,9,1,value 9 (n=17) to be imputed and -4 copy from 1st visit ,,,,,,,,,,,,
CVPACE,0,CVPACE,ir,y,9,1,"value 9 (n=6) to be imputed and -4 will first be replaced by CVPACDEF then the rest replaced by PACEMAKE (0=0, 1=1, 8 imputed)",,,,,,,,,,,,
CVCHF,0,CVCHF,ir,y,9,1,"value 9 (n=58) to be imputed and -4 will be replaced by CONGHRT (0=0, 1=1, and 8 imputed)",,,,,,,,,,,,
CVOTHR,0,CVOTHR,id,y,9,1,value 9 (n=49) to be imputed and -4 copy from 1st visit,,,,,,,,,,,,
CBSTROKE,0,CBSTROKE,ir,y,9,1,"value 9 (n=87) to be imputed and -4 will be replaced by PREVSTK (0=0, 1=1, and 8 imputed)",,,,,,,,,,,,
NACCSTYR,0,NACCSTYR,icd,n,9999,0,"change to inverse age, value 9999 (n=344) must be imputed, value -4 copy from 1st visit, 8888 change to 0",,,,,,,,,,,,
CBTIA,0,CBTIA,id,y,9,1,value 9 (n=245) to be imputed and -4 copy from 1st visit,,,,,,,,,,,,
NACCTIYR,0,NACCTIYR,icd,n,9999,0,"change to inverse age, value 9999 (n=181) must be imputed, value -4 copy from 1st visit, 8888 change to 0",,,,,,,,,,,,
PD,0,PD,D,y,,1,value 9 (n=86) and -4 to be combined treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (REP OF PARK)
PDYR,0,PDYR,icd,n,9999,0,"change to inverse age, value 9999 (n=68) must be imputed, value -4 copy from 1st visit, 8888 change to 0",,,,,,,,,,,,
PDOTHR,0,PDOTHR,id,y,9,1,value 9 (n=73) to be imputed and -4 copy from 1st visit,,,,,,,,,,,,
PDOTHRYR,0,PDOTHRYR,icd,n,9999,0,"change to inverse age, value 9999 (n=125) must be imputed, value -4 copy from 1st visit, 8888 change to 0",,,,,,,,,,,,
SEIZURES,0,SEIZURES,id,y,9,1,value 9 (n=113) to be imputed and -4 copy from 1st visit,,,,,,,,,,,,
NACCTBI,0,NACCTBI,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by BRNINJ (0=0, 1=1)",,,,,,,,,,,,
TRAUMBRF,0,TRAUMBRF,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will first be replaced by TBIBRIEF then the rest replaced by BRNINJ (0=0, 1=1)",,,,,,,,,,,,
TRAUMEXT,0,TRAUMEXT,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will first be replaced by TBIBRIEF then the rest replaced by BRNINJ (0=0, 1=1)",,,,,,,,,,,,
TRAUMCHR,0,TRAUMCHR,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by BRNINJ (0=0, 1=1)",,,,,,,,,,,,
NCOTHR,0,NCOTHR,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by OTHCOG (0=0, 1=1)",,,,,,,,,,,,
DIABETES,0,DIABETES,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by DIABET (0,9=0, 1,2,3=1)",,,,,,,,,,,,
DIABTYPE,0,DIABTYPE,D,y,9,1,value 9 (n < 236) and -4 to be combined treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (mostly unknown)
HYPERTEN,0,HYPERTEN,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by HYPERT (0=0, 1=1, 8 imputed)",,,,,,,,,,,,
HYPERCHO,0,HYPERCHO,id,y,9,1,"value 9 (n=96) must be imputed, value -4 copy from 1st visit",,,,,,,,,,,,
B12DEF,0,B12DEF,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by VB12DEF (0=0, 1=1, 8 imputed)",,,,,,,,,,,,
THYROID,0,THYROID,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by THYDIS (0=0, 1=1, 8 imputed)",,,,,,,,,,,,
INCONTU,0,INCONTU,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by URINEINC (0=0, 1=1, 8 imputed)",,,,,,,,,,,,
INCONTF,0,INCONTF,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by BOWLINC (0=0, 1=1, 8 imputed)",,,,,,,,,,,,
ALCOHOL,0,ALCOHOL,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by ALCABUSE (0,8,9=0, 1=1)",,,,,,,,,,,,
ABUSOTHR,0,ABUSOTHR,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by IMPSUB (0=0, 1=1)",,,,,,,,,,,,
DEP2YRS,0,DEP2YRS,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by DEPD, which is by month (0,9=0 and 1=0 if less than 2 years, 1=1 if last more than 2 years)",,,,,,,,,,,,
DEPOTHR,0,DEPOTHR,ir,y,9,1,"value 9 (n<236) to be imputed and -4 will be replaced by DEPD, which is by month (0,9=0 and 1=0 if happen within 2 years, 1=1 if happened more than 2 years ago)",,,,,,,,,,,,
PSYCDIS,0,PSYCDIS,id,y,9,1,value 9 (n<236) to be imputed and -4 copy from 1st visit,,,,,,,,,,,,
HEIGHT,0,HEIGHT,D,n,,0,dropping because total unknown ~1000 from 5000 cases,,,,,,,,,,,,
WEIGHT,0,WEIGHT,D,n,,0,dropping because total unknown ~900 from 5000 cases,,,,,,,,,,,,
BPSYS,0,BPSYS,D,n,,0,dropping because total unknown ~800 from 5000 cases,,,,,,,,,,,,
BPDIAS,0,BPDIAS,D,n,,0,dropping because total unknown ~800 from 5000 cases,,,,,,,,,,,,
HRATE,0,HRATE,D,n,,0,dropping because total unknown ~800 from 5000 cases,,,,,,,,,,,,
VISION,0,VISION,s2,y,,1,"value 9 are combined and -4 treated as its own category in first visit and propagate to following visits but any unknown (9 or -4) in other visit except first, take the latest visit value",,,,,,,,,,,,
VISCORR,0,VISCORR,s2,y,,1,"value 9 are combined and -4 treated as its own category in first visit and propagate to following visits but any unknown (9 or -4) in other visit except first, take the latest visit value",,,,,,,,,,,,
VISWCORR,0,VISWCORR,s2,y,,1,"value 9 are combined and -4 treated as its own category in first visit and propagate to following visits but any unknown (9 or -4) in other visit except first, take the latest visit value",,,,,,,,,,,,
HEARING,0,HEARING,s2,y,,1,"value 9 are combined and -4 treated as its own category in first visit and propagate to following visits but any unknown (9 or -4) in other visit except first, take the latest visit value",,,,,,,,,,,,
HEARAID,0,HEARAID,s2,y,,1,"value 9 are combined and -4 treated as its own category in first visit and propagate to following visits but any unknown (9 or -4) in other visit except first, take the latest visit value",,,,,,,,,,,,
HEARWAID,0,HEARWAID,s2,y,,1,"value 9 are combined and -4 treated as its own category in first visit and propagate to following visits but any unknown (9 or -4) in other visit except first, take the latest visit value",,,,,,,,,,,,
ABRUPT,0,ABRUPT,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in COGMODE)
STEPWISE,0,STEPWISE,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in COGMODE)
SOMATIC,0,SOMATIC,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
EMOT,0,EMOT,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
HXHYPER,0,HXHYPER,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in HYPERTEN)
HXSTROKE,0,HXSTROKE,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in stroke history)
FOCLSYM,0,FOCLSYM,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
FOCLSIGN,0,FOCLSIGN,r2,y,,1,"value -4 will be replaced by CVDSIGNS and SIVDFIND (0CVDSIGNS|0,8,-4SIVDFIND=0, CVDFIND1&SIVDFIND1=2)",,,,,,,,,,,,
HACHIN,0,HACHIN,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
PDNORMAL,0,PDNORMAL,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
SPEECH,0,SPEECH,r,n,,1,"value -4 will be replaced by APRAXSP (0,8,-4=0, 1=2)",,,,,,,,,,,,
FACEXP,0,FACEXP,r2,n,,1,"value -4 will be replaced by CVDMOTL and CVDMOTR (CVDMOTL1|CVDMOTR1=2, else 0)",,,,,,,,,,,,
TRESTFAC,0,TRESTFAC,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
TRESTRHD,0,TRESTRHD,r,n,,1,"value -4 will be replaced by RESTTRL (0,8,-4=0, 1=2)",,,,,,,,,,,,
TRESTLHD,0,TRESTLHD,r,n,,1,"value -4 will be replaced by RESTTRR (0,8,-4=0, 1=2)",,,,,,,,,,,,
TRESTRFT,0,TRESTRFT,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
TRESTLFT,0,TRESTLFT,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
TRACTRHD,0,TRACTRHD,r,n,,1,"value -4 will be replaced by POSTINT (0,8,-4=0, 1=2)",,,,,,,,,,,,
TRACTLHD,0,TRACTLHD,r,n,,1,"value -4 will be replaced by POSTINT (0,8,-4=0, 1=2)",,,,,,,,,,,,
RIGDNECK,0,RIGDNECK,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
RIGDUPRT,0,RIGDUPRT,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
RIGDUPLF,0,RIGDUPLF,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
RIGDLORT,0,RIGDLORT,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
RIGDLOLF,0,RIGDLOLF,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
TAPSRT,0,TAPSRT,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
TAPSLF,0,TAPSLF,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
HANDMOVR,0,HANDMOVR,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
HANDMOVL,0,HANDMOVL,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
HANDALTR,0,HANDALTR,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
HANDALTL,0,HANDALTL,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
LEGRT,0,LEGRT,r,n,,1,"value -4 will be replaced by CVDMOTR (CVDMOTR1=2, else 0)",,,,,,,,,,,,
LEGLF,0,LEGLF,r,n,,1,"value -4 will be replaced by CVDMOTL (CVDMOTL1=2, else 0)",,,,,,,,,,,,
ARISING,0,ARISING,i,n,-4,1,value -4 treated as its own category,,,,,,,,,,,,
POSTURE,0,POSTURE,r,n,,1,"value -4 will be replaced by POSTINST (0,8,-4=0, 1=2)",,,,,,,,,,,,
GAIT,0,GAIT,r2,n,,1,"value -4 will be replaced by PARKGAIT|GAITNPH|GAITPSP (0,8,-4=0, 1=2)",,,,,,,,,,,,
POSSTAB,0,POSSTAB,r,n,,1,"value -4 will be replaced by POSTINST (0,8,-4=0, 1=2)",,,,,,,,,,,,
BRADYKIN,0,BRADYKIN,r,n,,1,"value -4 will be replaced by BRADY (0,8,-4=0, 1=1)",,,,,,,,,,,,
MEMORY,0,MEMORY,y,n,,0,,,,,,,,,,,,,
ORIENT,0,ORIENT,y,n,,0,,,,,,,,,,,,,
JUDGMENT,0,JUDGMENT,y,n,,0,,,,,,,,,,,,,
COMMUN,0,COMMUN,y,n,,0,,,,,,,,,,,,,
HOMEHOBB,0,HOMEHOBB,y,n,,0,,,,,,,,,,,,,
PERSCARE,0,PERSCARE,y,n,,0,,,,,,,,,,,,,
CDRSUM,0,CDRSUM,y,n,,0,,,,,,,,,,,,,
CDRGLOB,0,CDRGLOB,y,n,,0,,,,,,,,,,,,,
DEL,0,DEL,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
DELSEV,0,DELSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
HALL,0,HALL,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
HALLSEV,0,HALLSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
AGIT,0,AGIT,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
AGITSEV,0,AGITSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
DEPD,0,DEPD,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
DEPDSEV,0,DEPDSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
ANX,0,ANX,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
ANXSEV,0,ANXSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
ELAT,0,ELAT,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
ELATSEV,0,ELATSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
