,,feature,cleared,categ,value to impute,,note,,,,,,,,,,,,
APA,0,APA,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
APASEV,0,APASEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
DISN,0,DISN,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
DISNSEV,0,DISNSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
IRR,0,IRR,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
IRRSEV,0,IRRSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
MOT,0,MOT,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
MOTSEV,0,MOTSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
NITE,0,NITE,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
NITESEV,0,NITESEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
APP,0,APP,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
APPSEV,0,APPSEV,ic,n,"9, -4",0.5,value 9 and -4 to be imputed by mean and 8 changed to 0,,,,,,,,,,,,
SATIS,0,SATIS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
DROPACT,0,DROPACT,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
EMPTY,0,EMPTY,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
BORED,0,BORED,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
SPIRITS,0,SPIRITS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
AFRAID,0,AFRAID,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
HAPPY,0,HAPPY,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
HELPLESS,0,HELPLESS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
STAYHOME,0,STAYHOME,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
MEMPROB,0,MEMPROB,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
WONDRFUL,0,WONDRFUL,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
WRTHLESS,0,WRTHLESS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
ENERGY,0,ENERGY,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
HOPELESS,0,HOPELESS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
BETTER,0,BETTER,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
NACCGDS,0,NACCGDS,ic,n,"88, -4",0.5,value 88 and -4 to be imputed by mean,,,,,,,,,,,,
BILLS,0,BILLS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
TAXES,0,TAXES,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
SHOPPING,0,SHOPPING,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
GAMES,0,GAMES,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
STOVE,0,STOVE,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
MEALPREP,0,MEALPREP,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
EVENTS,0,EVENTS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
PAYATTN,0,PAYATTN,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
REMDATES,0,REMDATES,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
TRAVEL,0,TRAVEL,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
NACCNREX,0,NACCNREX,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
FOCLDEF,0,FOCLDEF,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
GAITDIS,0,GAITDIS,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
EYEMOVE,0,EYEMOVE,c,y,,0.5,value 9 and -4 to be combined treated as its own category,,,,,,,,,,,,
DECSUB,0,DECSUB,D,y,,0,dropping because total unknown ~1700 from 4000 cases in the second visit,,,,,,,,,,,,
DECIN,0,DECIN,D,y,,0,dropping because total unknown ~1700 from 4000 cases in the second visit,,,,,,,,,,,,
DECCLIN,0,DECCLIN,y,y,,1,value -4 treated as its own category,,,,,,,,,,,,
COGMEM,0,COGMEM,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
COGJUDG,0,COGJUDG,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
COGLANG,0,COGLANG,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
COGVIS,0,COGVIS,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
COGATTN,0,COGATTN,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
COGOTHR,0,COGOTHR,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
NACCCOGF,0,NACCCOGF,y,y,,0,value 99 treated as its own category,,,,,,,,,,,,
COGMODE,0,COGMODE,i,n,99,0,value 99 (n=129) must be imputed,,,,,,,,,,,,
DECAGE,0,DECAGE,ic,n,999,0,"value 999 (n=142) must be imputed , all values to be inversed age, and value 888 change to 0",,,,,,,,,,,,
BEAPATHY,0,BEAPATHY,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
BEDEP,0,BEDEP,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
BEVHALL,0,BEVHALL,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
BEAHALL,0,BEAHALL,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
BEDEL,0,BEDEL,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
BEDISIN,0,BEDISIN,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
BEIRRIT,0,BEIRRIT,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
BEAGIT,0,BEAGIT,i,y,9,0,value 9 must be imputed,,,,,,,,,,,,
BEPERCH,0,BEPERCH,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
BEOTHR,0,BEOTHR,y,y,,0,,,,,,,,,,,,,
NACCBEHF,0,NACCBEHF,y,y,,0,value 99 treated as its own category,,,,,,,,,,,,
BEMODE,0,BEMODE,i,n,99,0,value 99 must be imputed,,,,,,,,,,,,
MOGAIT,0,MOGAIT,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
MOFALLS,0,MOFALLS,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
MOTREM,0,MOTREM,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
MOSLOW,0,MOSLOW,y,y,,0,value 99 treated as its own category,,,,,,,,,,,,
NACCMOTF,0,NACCMOTF,y,y,,0,value 99 treated as its own category,,,,,,,,,,,,
MOMODE,0,MOMODE,i,n,99,0,value 99 must be imputed,,,,,,,,,,,,
COURSE,0,COURSE,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
FRSTCHG,0,FRSTCHG,y,y,,0,value 9 treated as its own category,,,,,,,,,,,,
MMSELAN,0,MMSELAN,id,y,-4,1,"value -4 of the first visit (n=148) must be imputed, value -4 copy from 1st visit",,,,,,,,,,,,
MMSEORDA,0,MMSEORDA,s,n,s,0,Special case,,,,,,,,,,,,
MMSEORLO,0,MMSEORLO,s,n,s,0,Special case,,,,,,,,,,,,
NACCMMSE,0,NACCMMSE,s,n,s,0,Special case,,,,,,,,,,,,
NPSYLAN,0,NPSYLAN,d,y,,0,value -4 copy from 1st visit,,,,,,,,,,,,
LOGIMEM,0,LOGIMEM,s,n,s,0,Special case,,,,,,,,,,,,
MEMUNITS,0,MEMUNITS,s,n,s,0,Special case,,,,,,,,,,,,
DIGIF,0,DIGIF,s,n,s,0,Special case,,,,,,,,,,,,
DIGIFLEN,0,DIGIFLEN,s,n,s,0,Special case,,,,,,,,,,,,
DIGIB,0,DIGIB,s,n,s,0,Special case,,,,,,,,,,,,
DIGIBLEN,0,DIGIBLEN,s,n,s,0,Special case,,,,,,,,,,,,
ANIMALS,0,ANIMALS,s,n,s,0,Special case,,,,,,,,,,,,
VEG,0,VEG,s,n,s,0,Special case,,,,,,,,,,,,
TRAILA,0,TRAILA,s,n,s,0,Special case,,,,,,,,,,,,
TRAILB,0,TRAILB,s,n,s,0,Special case,,,,,,,,,,,,
WAIS,0,WAIS,s,n,s,0,Special case,,,,,,,,,,,,
BOSTON,0,BOSTON,s,n,s,0,Special case,,,,,,,,,,,,
COGSTAT,0,COGSTAT,s,n,s,0,Special case,,,,,,,,,,,,
NORMCOG,0,NORMCOG,y,y,,0,,,,,,,,,,,,,
DEMENTED,0,DEMENTED,y,y,,0,,,,,,,,,,,,,
NACCPPA,0,NACCPPA,y,y,,0,,,,,,,,,,,,,
NACCPPME,0,NACCPPME,r,y,,1,"value -4 replaced by NACCPPAG (1=2, 2=4, 3=1, 4=4, 7=7, 8=8, -4=-4)",,,,,,,,,,,,
NACCBVFT,0,NACCBVFT,y,y,,0,,,,,,,,,,,,,
NACCLBDS,0,NACCLBDS,y,y,,0,,,,,,,,,,,,,
NACCTMCI,0,NACCTMCI,y,y,,0,,,,,,,,,,,,,
NACCMCIL,0,NACCMCIL,y,y,,0,,,,,,,,,,,,,
NACCMCIA,0,NACCMCIA,y,y,,0,,,,,,,,,,,,,
NACCMCIE,0,NACCMCIE,y,y,,0,,,,,,,,,,,,,
NACCMCIV,0,NACCMCIV,y,y,,0,,,,,,,,,,,,,
NACCMCII,0,NACCMCII,y,y,,0,,,,,,,,,,,,,
IMPNOMCI,0,IMPNOMCI,y,y,,0,,,,,,,,,,,,,
NACCALZD,0,NACCALZD,y,y,,0,,,,,,,,,,,,,
NACCALZP,0,NACCALZP,y,y,,0,,,,,,,,,,,,,
PROBAD,0,PROBAD,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCALZD)
PROBADIF,0,PROBADIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCALZP)
POSSAD,0,POSSAD,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCALZD)
POSSADIF,0,POSSADIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCALZP)
NACCLBDE,0,NACCLBDE,y,y,,1,,,,,,,,,,,,,
NACCLBDP,0,NACCLBDP,y,y,,1,,,,,,,,,,,,,
PARK,0,PARK,y,y,,1,,,,,,,,,,,,,
PSP,0,PSP,y,y,,1,,,,,,,,,,,,,
PSPIF,0,PSPIF,y,y,,1,,,,,,,,,,,,,
CORT,0,CORT,y,y,,1,,,,,,,,,,,,,
CORTIF,0,CORTIF,y,y,,1,,,,,,,,,,,,,
FTD,0,FTD,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCBVFT)
FTDIF,0,FTDIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCBVFT)
PPAPH,0,PPAPH,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCPPME)
PPAPHIF,0,PPAPHIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (already included in NACCPPME)
VASC,0,VASC,r,y,,1,"value -4 will be replaced by CVD (0=0, 1=1)",,,,,,,,,,,,
VASCIF,0,VASCIF,r,y,,1,"value -4 will be replaced by CVDIF (1=1, 2=2, 3,7=7, 8=8, 3=7)",,,,,,,,,,,,
STROKE,0,STROKE,r,y,,1,"value -4 will be replaced by PREVSTK (0=0, 1=1)",,,,,,,,,,,,
STROKIF,0,STROKIF,r,y,,1,"value -4 will be replaced by STROKDEC (0=0, 1=2, 8=8)",,,,,,,,,,,,
DOWNS,0,DOWNS,y,y,,0,,,,,,,,,,,,,
DOWNSIF,0,DOWNSIF,y,y,,0,,,,,,,,,,,,,
HUNT,0,HUNT,y,y,,0,,,,,,,,,,,,,
HUNTIF,0,HUNTIF,y,y,,0,,,,,,,,,,,,,
PRION,0,PRION,y,y,,0,,,,,,,,,,,,,
PRIONIF,0,PRIONIF,y,y,,0,,,,,,,,,,,,,
BRNINJ,0,BRNINJ,y,y,,0,,,,,,,,,,,,,
BRNINJIF,,BRNINJIF,y,y,,0,,,,,,,,,,,,,
HYCEPH,,HYCEPH,y,y,,0,,,,,,,,,,,,,
HYCEPHIF,,HYCEPHIF,y,y,,0,,,,,,,,,,,,,
NEOP,,NEOP,y,y,,0,,,,,,,,,,,,,
NEOPIF,,NEOPIF,y,y,,0,,,,,,,,,,,,,
DEP,,DEP,y,y,,0,,,,,,,,,,,,,
DEPIF,,DEPIF,y,y,,0,,,,,,,,,,,,,
OTHPSY,,OTHPSY,y,y,,0,,,,,,,,,,,,,
OTHPSYIF,,OTHPSYIF,y,y,,0,,,,,,,,,,,,,
ALCDEM,,ALCDEM,y,y,,0,,,,,,,,,,,,,
ALCDEMIF,,ALCDEMIF,y,y,,0,,,,,,,,,,,,,
DYSILL,,DYSILL,y,y,,0,,,,,,,,,,,,,
DYSILLIF,,DYSILLIF,y,y,,0,,,,,,,,,,,,,
MEDS,,MEDS,y,y,,0,,,,,,,,,,,,,
MEDSIF,,MEDSIF,y,y,,0,,,,,,,,,,,,,
DEMUN,,DEMUN,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (not gonna be useful)
DEMUNIF,,DEMUNIF,D,y,,1,value -4 treated as its own category,,,,,,,,,,,,DELETE THIS VARIABLE (not gonna be useful)
COGOTH,,COGOTH,y,y,,0,,,,,,,,,,,,,
COGOTHIF,,COGOTHIF,y,y,,0,,,,,,,,,,,,,
NACCETPR,,NACCETPR,y,y,,0,,,,,,,,,,,,,
NACCADMU,,NACCADMU,y,y,,0,,,,,,,,,,,,,
NACCFTDM,,NACCFTDM,y,y,,0,,,,,,,,,,,,,
NACCAGEB,,NACCAGEB,y,n,,0,,,,,,,,,,,,,
NACCNIHR,,NACCNIHR,y,y,,0,,,,,,,,,,,,,
NACCNORM,,NACCNORM,y,y,,0,,,,,,,,,,,,,
NACCIDEM,,NACCIDEM,y,y,,0,,,,,,,,,,,,,
NACCAGE,,NACCAGE,y,n,,0,,,,,,,,,,,,,
NACCAAAS,,NACCAAAS,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAANX,,NACCAANX,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAC,,NACCAC,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCACEI,,NACCACEI,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCADEP,,NACCADEP,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCADMD,,NACCADMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAHTN,,NACCAHTN,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAMD,,NACCAMD,i,n,-4,0,take mean,,,,,,,,,,,,
NACCANGI,,NACCANGI,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCAPSY,,NACCAPSY,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCBETA,,NACCBETA,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCCCBS,,NACCCCBS,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCDBMD,,NACCDBMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCDIUR,,NACCDIUR,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCEMD,,NACCEMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCEPMD,,NACCEPMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCHTNC,,NACCHTNC,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCLIPL,,NACCLIPL,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCNSD,,NACCNSD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCPDMD,,NACCPDMD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCVASD,,NACCVASD,y,y,,0,value -4 treated as its own category,,,,,,,,,,,,
NACCBMI,,NACCBMI,D,n,,0,dropping because total unknown ~1000 from 5000 cases,,,,,,,,,,,,
NACCUDSD,,NACCUDSD,y,n,,0,,,,,,,,,,,,,
NACCMOD,,NACCMOD,y,y,,0,,,,,,,,,,,,,
NACCYOD,,NACCYOD,y,y,,0,,,,,,,,,,,,,
NACCAPOE,,NACCNE4S,y,y,,0,,,,,,,,,,,,,
NACCNE4S,,NACCAPOE,y,y,,0,,,,,,,,,,,,,
NPSEX,,NPSEX,y,y,,0,,,,,,,,,,,,,
NPPMIH,,NPPMIH,D,n,,0,dropping because total unknown ~3000 from 5000 cases,,,,,,,,,,,,
NACCDOWN,,NACCDOWN,y,y,,0,,,,,,,,,,,,,
NACCDAGE,,NACCDAGE,y,n,,0,,,,,,,,,,,,,
NACCINT,,NACCINT,y,n,,0,,,,,,,,,,,,,
